,Subject
1,101366
2,101657
3,102257
4,102439
5,102439.01
6,103364.01
7,103907
8,105577
9,106721.01
10,106722.01
11,106936
12,107196
13,109545.01
14,110140
15,110661
16,111145
17,112761
18,115919
19,117158
20,117223
21,117297
22,117326
23,117939
24,118259
25,118418
26,118594
27,118601
28,118700
29,118764
30,118775
31,118834
32,118835
33,118877
34,118916
35,119264
36,119271
37,119384
38,119492
39,119522
40,119523
41,119570
42,119578
43,119589
44,119604
45,119864
46,119913